video_id,title,publishedAt,duration,hours,minutes,seconds,total_seconds
pP1KMQb51GA,OpTiC NaDeShOt Got Hack!!,2013-11-27T19:37:44Z,PT2M44S,0,2,44,164
dPxAFqs2eYE,"Epic Ghost Multiplayer EasterEggs! (PrisonBreak, Sovereign, and Flooded)",2013-11-17T18:26:11Z,PT1M40S,0,1,40,100
p-KVD5rA_Cw,Why Google Does Not Care What We Think....,2013-11-17T01:40:48Z,PT3M,0,3,0,180
JdCgkcb1iwQ,My First Kem Strike!,2013-11-16T19:48:55Z,PT4M29S,0,4,29,269
7anhkLPRk-A,Google+ The Death Of Youtube?????,2013-11-13T22:09:21Z,PT2M43S,0,2,43,163
XVMY7B3AzWM,How Much Money Does PewDiePie Make?????,2013-11-12T03:18:18Z,PT5M32S,0,5,32,332
QXag-irFHxE,Most Overpowered Guns In Ghost!,2013-11-11T20:11:15Z,PT2M40S,0,2,40,160
vBEGODNmdas,Are Minecraft Faction Has A New Pet! (poopymiscquidlepants),2013-10-31T20:44:54Z,PT15S,0,0,15,15
v3tbnlc5cfo,Battle Pirates!,2013-09-21T22:18:59Z,PT3M35S,0,3,35,215
ObYLL97-SBA,How To Duplicate Diamonds!!!!,2013-09-15T01:09:42Z,PT37S,0,0,37,37
IaR7P4-wFK8,50k Video Views!!!! EpicSauce!,2013-09-08T22:20:48Z,PT1M43S,0,1,43,103
v1ELS84GQu8,If This Video Gets One Million Views.....,2013-09-07T02:28:05Z,PT46S,0,0,46,46
ctJORnOjbrQ,These Were The Good Days....,2013-09-05T02:14:46Z,PT52S,0,0,52,52
-hrPQFaDVKQ,Channel Update.,2013-08-16T20:34:58Z,PT2M42S,0,2,42,162
bIZ5_L1ru2w,Funny Noob Tubing Reaction Montage!,2013-08-16T03:04:45Z,PT2M29S,0,2,29,149
yyssjJEJMt4,"Minecraft, How To Grief Without Being Seen!",2013-08-14T21:39:31Z,PT1M3S,0,1,3,63
2bwPntvb90U,Buried Round 50 Gameplay! Black ops 2 Zombies.,2013-08-12T22:49:16Z,PT1M22S,0,1,22,82
Wz1VHTZq16c,Minecraft Let's Play Ep. # 2 - Having Fun and Derping!,2013-08-12T01:53:18Z,PT14M58S,0,14,58,898
Cs-kyTJso-A,Worlds Biggest Ball Of TNT Minecraft!  Challenge Video!,2013-08-09T23:45:05Z,PT1M45S,0,1,45,105
jkqd-oc0F00,"How To Get A Gaming Partnership, And What It Is.",2013-08-08T21:25:32Z,PT6M49S,0,6,49,409
mVkT6Cd9SoI,Camping Montage.... LOL,2013-08-05T21:12:41Z,PT3M20S,0,3,20,200
rffyxTTNkyk,Black Ops 2! Mini Update Video.,2013-08-05T02:55:37Z,PT3M55S,0,3,55,235
OOesLeO6-pc,Randomness,2013-08-02T22:16:42Z,PT5M18S,0,5,18,318
Q5lcjP6XlHw,203 Kill Game! Thanks For 300 Subscribers!,2013-08-01T19:36:50Z,PT4M26S,0,4,26,266
sE3ZZmYotSs,Call of Duty Ghost Multiplier Reveal Trailer Release Date!,2013-07-30T20:51:42Z,PT3M50S,0,3,50,230
pUwUAtmBKxw,Insane Black Ops 2 HACKER!!!!,2013-07-30T02:45:21Z,PT5M59S,0,5,59,359
p5rGgPZtjDw,Top Subscribed To Channels? BO2 w/ commentary!,2013-07-28T20:50:09Z,PT5M39S,0,5,39,339
bWDmDsdvoBs,Career Ender ....  LOL,2013-07-28T17:13:58Z,PT26S,0,0,26,26
OJA1QK-j-Oo,I Bought A New Microphone!  (quality test),2013-07-27T23:25:01Z,PT2M55S,0,2,55,175
KL1X8NsVGd0,Top 10 Worst Guns in Call Of Duty History!,2013-07-25T21:36:56Z,PT4M19S,0,4,19,259
q2HoSwCMcZw,Black ops 2 Patch news!,2013-07-24T20:35:32Z,PT3M53S,0,3,53,233
RRknlgRqOds,Black ops 2 Invisible equipment and scorestreak glitch!,2013-07-21T18:26:36Z,PT2M27S,0,2,27,147
j93M46a-W3U,I'm Back! Update Video....,2013-07-19T23:41:14Z,PT3M24S,0,3,24,204
uqjfMNEWNIg,Minecraft Let's Play! Ep. 1. The Beginning!,2013-07-08T20:03:41Z,PT18M27S,0,18,27,1107
X-g9aT2wFjM,Channel Trailer....,2013-07-06T18:17:45Z,PT49S,0,0,49,49
pHKlrJeKmjA,Black ops 2 Shotgun gameplay w/ commentary....  Ps4 or Xbox?,2013-07-06T00:13:48Z,PT6M2S,0,6,2,362
C82suucz4i4,Black ops 2 Gameplay w/ commentary. Hipsters,2013-07-03T17:48:10Z,PT4M21S,0,4,21,261
H_DYlka7QAQ,Project Zomboid Let's Play ep [04] lots of stuff,2013-06-18T15:51:26Z,PT15M45S,0,15,45,945
ov0KQthQ50U,Project Zomboid Let's Play ep. [03] Looting and storing.,2013-06-17T02:17:34Z,PT24M34S,0,24,34,1474
